    ,大気環境月報　　,平成27年1月
    ,測定場所,(107),品川区豊町                   ,項目, (2),オキシダント          ,単位,   ppb
    ,  1時,  2時,  3時,  4時,  5時,  6時,  7時,  8時,  9時, 10時, 11時, 12時, 13時, 14時, 15時, 16時, 17時, 18時, 19時, 20時, 21時, 22時, 23時, 24時, 平均, 最高, 最低, 回数, 合計
 1日,   38,   38,   35,   36,   36,   35,   34,   33,   33,   35,   35,   36,   37,   37,   37,   33,   35,   34,   34,   32,   28,   28,   28,   28,   34,   38,   28,   24,  815
 2日,   25,   28,   29,   28,   20,   10,   13,   12,   11,   13,   18,   24,   32,   32,   26,   33,   33,   25,   18,   13,    7,   16,    8,   12,   20,   33,    7,   24,  486
 3日,   23,   25,   27,   27,   26,   19,   14,   15,   24,   31,   34,   35,   36,   38,   37,   34,   31,   21,    9,    8,   22,   21,   18,   10,   24,   38,    8,   24,  585
 4日,*****,    8,    9,    3,    5,    2,   10,    6,    5,    9,   13,   19,   24,   30,   28,   27,   15,    2,    2,    2,    3,    2,    2,    2,   10,   30,    2,   23,  228
 5日,    1,    1,    1,    1,    1,    1,    3,    6,   17,   25,   29,   35,   40,   41,   39,   36,   20,   11,    2,    2,    2,    2,    3,    4,   13,   41,    1,   24,  323
 6日,   16,   13,   23,   32,   35,   36,   36,   35,   36,   35,   38,   41,   42,   42,   40,   39,   37,   23,   18,   30,   32,   34,   35,   35,   33,   42,   13,   24,  783
 7日,   34,   34,   34,   34,   32,   30,   28,   26,   27,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,   31,   34,   26,    9,  279
 8日,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,     ,     ,     ,    0,     
 9日,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,   28,   28,   26,   25,   26,   24,   25,   26,   26,   28,   24,    8,  208
10日,*****,   23,   25,   26,   17,   19,   20,   12,   25,   28,   31,   34,   36,   36,   36,   35,   32,   28,   17,   21,   24,   26,   24,   25,   26,   36,   12,   23,  600
11日,   26,   26,   26,   24,   15,    6,    7,   12,   19,   26,   30,   31,   28,   33,   39,   40,   38,   36,   34,   34,   30,   20,   30,   34,   27,   40,    6,   24,  644
12日,   33,   33,   32,   31,   31,   30,   27,   27,   30,   34,   35,   35,   36,   36,   37,   36,   34,   31,   30,   27,   24,   25,   28,   23,   31,   37,   23,   24,  745
