"ตารางแสดงจำนวนการติดต่อเรื่องร้องทุกข์/เสนอข้อคิดเห็นที่ประชาชนแจ้งเรื่อง
ผ่านช่องทาง 1111 ของศูนย์บริการประชาชน สำนักงานปลัดสำนักนายกรัฐมนตรี",,
ในช่วงเดือนสิงหาคม 2559,,
ประเภทเรื่องหลัก,ประเภทเรื่องย่อย,จำนวนเรื่อง
เศรษฐกิจ,กลุ่มการค้า,2
เศรษฐกิจ,การขออนุมัติสินเชื่อ,50
เศรษฐกิจ,การค้าระหว่างประเทศ,4
เศรษฐกิจ,การจัดสรรงบประมาณ,10
เศรษฐกิจ,การท่องเที่ยวและบริการ,11
เศรษฐกิจ,การส่งเสริมการขาย,5
เศรษฐกิจ,การเอารัดเอาเปรียบทางการค้า,9
เศรษฐกิจ,แก๊สธรรมชาติ,1
เศรษฐกิจ,ค่าครองชีพ,5
เศรษฐกิจ,ค่าตอบแทนพิเศษ,2
เศรษฐกิจ,ค่าธรรมเนียมบริการ,15
เศรษฐกิจ,ค่าแรง ค่าจ้าง เงินเดือน,38
เศรษฐกิจ,คุณภาพสินค้าและบริการ,19
เศรษฐกิจ,ดอกเบี้ย,9
เศรษฐกิจ,ทรัพย์สินทางปัญญา,6
เศรษฐกิจ,ทุนประกอบธุรกิจ,9
เศรษฐกิจ,ทุนประกอบอาชีพ,57
เศรษฐกิจ,น้ำมันเชื้อเพลิง,6
เศรษฐกิจ,นิคมอุตสาหกรรม,3
เศรษฐกิจ,บำเหน็จ บำนาญ,8
เศรษฐกิจ,ประมง,11
เศรษฐกิจ,ปศุสัตว์,7
เศรษฐกิจ,พลังงานทดแทน,1
เศรษฐกิจ,พลังงานไฟฟ้า,1
เศรษฐกิจ,พืชผล,45
เศรษฐกิจ,ภาษีอากร,28
เศรษฐกิจ,ราคาสินค้า และบริการ,38
เศรษฐกิจ,เศรษฐกิจ,1
เศรษฐกิจ,สถานที่จัดจำหน่าย,14
เศรษฐกิจ,สถาบันการเงิน,26
เศรษฐกิจ,หนี้สินนอกระบบ,366
เศรษฐกิจ,หนี้สินในระบบ,60
เศรษฐกิจ,หนี้สินอื่น,26
เศรษฐกิจ,หลักทรัพย์ / ตลาดหลักทรัพย์,1
เศรษฐกิจ,แหล่งน้ำการเกษตร,10
เศรษฐกิจ,อุปกรณ์ เครื่องมือ และเคมีภัณฑ์ทางการเกษตร,2
รวม,,906
กฎหมาย,กฎหมาย,2
กฎหมาย,การเสนอและตรากฎหมาย,88
กฎหมาย,ขอความเป็นธรรมเกี่ยวกับคดีอาญา,11
กฎหมาย,ขอลดโทษ อภัยโทษ นิรโทษกรรม,1
กฎหมาย,ขอให้แก้ไขเปลี่ยนแปลงคำสั่ง/คำพิพากษาของศาล,3
กฎหมาย,ขอให้คุ้มครองความปลอดภัยในชีวิตและทรัพย์สิน,13
กฎหมาย,ขอให้จัดหาทนายความ,3
กฎหมาย,ขอให้หน่วยงานของรัฐดำเนินคดีหรือบังคับคดีแทนเอกชน,5
กฎหมาย,ประเด็นเกี่ยวกับกลุ่มอาชญากร/ผู้มีอิทธิพล/อาวุธสงคราม,10
กฎหมาย,ประเด็นเกี่ยวกับการบังคับคดีในทางแพ่ง,12
กฎหมาย,ประเด็นเกี่ยวกับความผิดอาญาอื่น,24
กฎหมาย,ประเด็นเกี่ยวกับชีวิต ร่างกาย ชื่อเสียง เสรีภาพ,94
กฎหมาย,ประเด็นเกี่ยวกับทรัพย์สิน,83
กฎหมาย,ประเด็นเกี่ยวกับยาเสพติด,7
กฎหมาย,ประเด็นเกี่ยวกับสิ่งของผิดกฎหมาย,19
กฎหมาย,ประเด็นอื่นเกี่ยวกับการใช้สิทธิหรือข้อพิพาทระหว่างเอกชน,42
กฎหมาย,ประเด็นอื่นเกี่ยวกับการบังคับตามกฎหมาย,69
รวม,,486
การเมือง-การปกครอง,กล่าวโทษหรือร้องเรียนข้าราชการครู,4
การเมือง-การปกครอง,กล่าวโทษหรือร้องเรียนข้าราชการตำรวจ,14
การเมือง-การปกครอง,กล่าวโทษหรือร้องเรียนข้าราชการทหาร,2
การเมือง-การปกครอง,กล่าวโทษหรือร้องเรียนข้าราชการพลเรือน,10
การเมือง-การปกครอง,กล่าวโทษหรือร้องเรียนข้าราชการอัยการ,2
การเมือง-การปกครอง,กล่าวโทษหรือร้องเรียนเจ้าหน้าที่ของรัฐอื่น,14
