Date Rptd,DR. NO,DATE OCC,TIME OCC,AREA,AREA NAME,RD,Crm Cd,Crm Cd Desc,Status,Status Desc,LOCATION,Cross Street,Location 1
12/01/2015 12:00:00 AM,150101681,12/01/2015 12:00:00 AM,1140,01,Central,0192,421,THEFT FROM MOTOR VEHICLE - ATTEMPT,IC,Invest Cont, 1300 S  OLIVE                        ST,,"(34.0381, -118.2629)"
12/01/2015 12:00:00 AM,150126611,12/01/2015 12:00:00 AM,0140,01,Central,0192,624,BATTERY - SIMPLE ASSAULT,IC,Invest Cont, 1300 S  HOPE                         ST,,"(34.0395, -118.2656)"
12/01/2015 12:00:00 AM,150126634,12/01/2015 12:00:00 AM,0735,01,Central,0138,624,BATTERY - SIMPLE ASSAULT,IC,Invest Cont,  200 S  CENTRAL                      AV,,"(34.0477, -118.2393)"
12/01/2015 12:00:00 AM,150126645,12/01/2015 12:00:00 AM,0700,01,Central,0157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",IC,Invest Cont,         6TH                          ST,   SAN PEDRO,"(34.0417, -118.2443)"
12/01/2015 12:00:00 AM,150126647,12/01/2015 12:00:00 AM,0915,01,Central,0166,440,THEFT PLAIN - PETTY ($950 & UNDER),IC,Invest Cont,         6TH                          ST,   SAN PEDRO,"(34.0423, -118.2452)"
12/01/2015 12:00:00 AM,150126648,12/01/2015 12:00:00 AM,0305,01,Central,0144,626,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,IC,Invest Cont,  400 S  MAIN                         ST,,"(34.0482, -118.2472)"
12/01/2015 12:00:00 AM,150126649,12/01/2015 12:00:00 AM,1130,01,Central,0158,946,OTHER MISCELLANEOUS CRIME,IC,Invest Cont,         5TH                          ST,   GLADYS,"(34.0417, -118.2398)"
12/01/2015 12:00:00 AM,150126654,12/01/2015 12:00:00 AM,1310,01,Central,0146,420,THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER),IC,Invest Cont,  200 E  4TH                          ST,,"(34.0473, -118.2462)"
12/01/2015 12:00:00 AM,150126665,12/01/2015 12:00:00 AM,1230,01,Central,0191,440,THEFT PLAIN - PETTY ($950 & UNDER),IC,Invest Cont,  700 W  VENICE                       BL,,"(34.0378, -118.2709)"
12/01/2015 12:00:00 AM,150126666,12/01/2015 12:00:00 AM,1540,01,Central,0143,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),IC,Invest Cont,  400 S  BROADWAY,,"(34.0495, -118.2494)"
12/01/2015 12:00:00 AM,150126667,12/01/2015 12:00:00 AM,1340,01,Central,0157,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",IC,Invest Cont,         7TH                          ST,   CROCKER                      ST,"(34.0396, -118.2451)"
12/01/2015 12:00:00 AM,150126669,12/01/2015 12:00:00 AM,1230,01,Central,0144,440,THEFT PLAIN - PETTY ($950 & UNDER),IC,Invest Cont,  400 S  MAIN                         ST,,"(34.0482, -118.2472)"
12/01/2015 12:00:00 AM,150126670,12/01/2015 12:00:00 AM,1350,01,Central,0153,350,"THEFT, PERSON",IC,Invest Cont,  500 S  SPRING                       ST,,"(34.0474, -118.2496)"
12/01/2015 12:00:00 AM,150126673,12/01/2015 12:00:00 AM,2140,01,Central,0135,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",IC,Invest Cont,         4TH                          ST,   LOS ANGELES,"(34.0478, -118.2462)"
12/01/2015 12:00:00 AM,150126677,12/01/2015 12:00:00 AM,1645,01,Central,0176,956,"LETTERS, LEWD",IC,Invest Cont,  200 E  8TH                          ST,,"(34.0419, -118.2523)"
12/01/2015 12:00:00 AM,150126681,12/01/2015 12:00:00 AM,1805,01,Central,0159,330,BURGLARY FROM VEHICLE,IC,Invest Cont,         INDUSTRIAL,   MILL,"(34.0357, -118.2344)"
12/01/2015 12:00:00 AM,150126682,12/01/2015 12:00:00 AM,2140,01,Central,0152,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",IC,Invest Cont,  500 S  FLOWER                       ST,,"(34.0516, -118.2561)"
12/01/2015 12:00:00 AM,150221820,12/01/2015 12:00:00 AM,0100,02,Rampart,0221,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,IC,Invest Cont, 3900    BEVERLY                      BL,,"(34.0763, -118.2932)"
12/01/2015 12:00:00 AM,150221822,12/01/2015 12:00:00 AM,0430,02,Rampart,0249,626,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,IC,Invest Cont, 1000    INGRAHAM                     ST,,"(34.0515, -118.2615)"
12/01/2015 12:00:00 AM,150221824,12/01/2015 12:00:00 AM,0400,02,Rampart,0266,210,ROBBERY,IC,Invest Cont,         BURLINGTON                   PL,   8TH                          ST,"(34.0534, -118.2745)"
12/01/2015 12:00:00 AM,150221833,12/01/2015 12:00:00 AM,0900,02,Rampart,0246,624,BATTERY - SIMPLE ASSAULT,IC,Invest Cont,  300 S  ALVARADO                     ST,,"(34.0630, -118.2727)"
12/01/2015 12:00:00 AM,150221839,12/01/2015 12:00:00 AM,0900,02,Rampart,0221,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,IC,Invest Cont,  300 N  MARIPOSA                     AV,,"(34.0763, -118.2994)"
12/01/2015 12:00:00 AM,150221840,12/01/2015 12:00:00 AM,1000,02,Rampart,0257,940,EXTORTION,IC,Invest Cont, 1200 W  7TH                          ST,,"(34.0515, -118.2658)"
12/01/2015 12:00:00 AM,150221841,12/01/2015 12:00:00 AM,1300,02,Rampart,0269,956,"LETTERS, LEWD",IC,Invest Cont, 1200 W  8TH                          ST,,"(34.0496, -118.2677)"
12/01/2015 12:00:00 AM,150221846,12/01/2015 12:00:00 AM,1120,02,Rampart,0216,210,ROBBERY,IC,Invest Cont,  600 N  CORONADO                     ST,,"(34.0751, -118.2717)"
12/01/2015 12:00:00 AM,150221848,12/01/2015 12:00:00 AM,1600,02,Rampart,0245,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",IC,Invest Cont,         7TH,   CORONADO,"(34.0590, -118.2824)"
